movie_title,genres,title_year,imdb_score,imdb_rating,country,budget,gross,director_name,
Avatar ,Action,2009,7.9,8,USA,237000000,760505847,James Cameron,
Pirates of the Caribbean: At World's End ,Action,2007,7.1,7,USA,300000000,309404152,Gore Verbinski,
Spectre ,Action,2015,6.8,7,UK,245000000,200074175,Sam Mendes,
The Dark Knight Rises ,Action,2012,8.5,9,USA,250000000,448130642,Christopher Nolan,
John Carter ,Action,2012,6.6,7,USA,263700000,73058679,Andrew Stanton,
Spider-Man 3 ,Action,2007,6.2,6,USA,258000000,336530303,Sam Raimi,
Tangled ,Adventure,2010,7.8,8,USA,260000000,200807262,Nathan Greno,
Avengers: Age of Ultron ,Action,2015,7.5,8,USA,250000000,458991599,Joss Whedon,
Harry Potter and the Half-Blood Prince ,Adventure,2009,7.5,8,UK,250000000,301956980,David Yates,
Batman v Superman: Dawn of Justice ,Action,2016,6.9,7,USA,250000000,330249062,Zack Snyder,
Superman Returns ,Action,2006,6.1,6,USA,209000000,200069408,Bryan Singer,
Quantum of Solace ,Action,2008,6.7,7,UK,200000000,168368427,Marc Forster,
Pirates of the Caribbean: Dead Man's Chest ,Action,2006,7.3,7,USA,225000000,423032628,Gore Verbinski,
The Lone Ranger ,Action,2013,6.5,7,USA,215000000,89289910,Gore Verbinski,
Man of Steel ,Action,2013,7.2,7,USA,225000000,291021565,Zack Snyder,
The Chronicles of Narnia: Prince Caspian ,Action,2008,6.6,7,USA,225000000,141614023,Andrew Adamson,
The Avengers ,Action,2012,8.1,8,USA,220000000,623279547,Joss Whedon,
Pirates of the Caribbean: On Stranger Tides ,Action,2011,6.7,7,USA,250000000,241063875,Rob Marshall,
Men in Black 3 ,Action,2012,6.8,7,USA,225000000,179020854,Barry Sonnenfeld,
The Hobbit: The Battle of the Five Armies ,Adventure,2014,7.5,8,New Zealand,250000000,255108370,Peter Jackson,
The Amazing Spider-Man ,Action,2012,7,7,USA,230000000,262030663,Marc Webb,
Robin Hood ,Action,2010,6.7,7,USA,200000000,105219735,Ridley Scott,
The Hobbit: The Desolation of Smaug ,Adventure,2013,7.9,8,USA,225000000,258355354,Peter Jackson,
The Golden Compass ,Adventure,2007,6.1,6,USA,180000000,70083519,Chris Weitz,
King Kong ,Action,2005,7.2,7,New Zealand,207000000,218051260,Peter Jackson,
Titanic ,Drama,1997,7.7,8,USA,200000000,658672302,James Cameron,
Captain America: Civil War ,Action,2016,8.2,8,USA,250000000,407197282,Anthony Russo,
Battleship ,Action,2012,5.9,6,USA,209000000,65173160,Peter Berg,
Jurassic World ,Action,2015,7,7,USA,150000000,652177271,Colin Trevorrow,
Skyfall ,Action,2012,7.8,8,UK,200000000,304360277,Sam Mendes,
Spider-Man 2 ,Action,2004,7.3,7,USA,200000000,373377893,Sam Raimi,
Iron Man 3 ,Action,2013,7.2,7,USA,200000000,408992272,Shane Black,
Alice in Wonderland ,Adventure,2010,6.5,7,USA,200000000,334185206,Tim Burton,
X-Men: The Last Stand ,Action,2006,6.8,7,Canada,210000000,234360014,Brett Ratner,
Monsters University ,Adventure,2013,7.3,7,USA,200000000,268488329,Dan Scanlon,
Transformers: Revenge of the Fallen ,Action,2009,6,6,USA,200000000,402076689,Michael Bay,
Transformers: Age of Extinction ,Action,2014,5.7,6,USA,210000000,245428137,Michael Bay,
Oz the Great and Powerful ,Adventure,2013,6.4,6,USA,215000000,234903076,Sam Raimi,
The Amazing Spider-Man 2 ,Action,2014,6.7,7,USA,200000000,202853933,Marc Webb,
TRON: Legacy ,Action,2010,6.8,7,USA,170000000,172051787,Joseph Kosinski,
Cars 2 ,Adventure,2011,6.3,6,USA,200000000,191450875,John Lasseter,
Green Lantern ,Action,2011,5.6,6,USA,200000000,116593191,Martin Campbell,
Toy Story 3 ,Adventure,2010,8.3,8,USA,200000000,414984497,Lee Unkrich,
Terminator Salvation ,Action,2009,6.6,7,USA,200000000,125320003,McG,
Furious 7 ,Action,2015,7.2,7,USA,190000000,350034110,James Wan,
World War Z ,Action,2013,7,7,USA,190000000,202351611,Marc Forster,
X-Men: Days of Future Past ,Action,2014,8,8,USA,200000000,233914986,Bryan Singer,
Star Trek Into Darkness ,Action,2013,7.8,8,USA,190000000,228756232,J.J. Abrams,
Jack the Giant Slayer ,Adventure,2013,6.3,6,USA,195000000,65171860,Bryan Singer,
The Great Gatsby ,Drama,2013,7.3,7,Australia,105000000,144812796,Baz Luhrmann,
Prince of Persia: The Sands of Time ,Action,2010,6.6,7,USA,200000000,90755643,Mike Newell,
Pacific Rim ,Action,2013,7,7,USA,190000000,101785482,Guillermo del Toro,
Transformers: Dark of the Moon ,Action,2011,6.3,6,USA,195000000,352358779,Michael Bay,
Indiana Jones and the Kingdom of the Crystal Skull ,Action,2008,6.2,6,USA,185000000,317011114,Steven Spielberg,
Brave ,Adventure,2012,7.2,7,USA,185000000,237282182,Mark Andrews,
Star Trek Beyond ,Action,2016,7.5,8,USA,185000000,130468626,Justin Lin,
WALL·E ,Adventure,2008,8.4,8,USA,180000000,223806889,Andrew Stanton,
Rush Hour 3 ,Action,2007,6.2,6,USA,140000000,140080850,Brett Ratner,
2012 ,Action,2009,5.8,6,USA,200000000,166112167,Roland Emmerich,
A Christmas Carol ,Animation,2009,6.8,7,USA,200000000,137850096,Robert Zemeckis,
Jupiter Ascending ,Action,2015,5.4,5,USA,176000000,47375327,Lana Wachowski,
The Legend of Tarzan ,Action,2016,6.6,7,USA,180000000,124051759,David Yates,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure,2005,6.9,7,USA,180000000,291709845,Andrew Adamson,
X-Men: Apocalypse ,Action,2016,7.3,7,USA,178000000,154985087,Bryan Singer,
The Dark Knight ,Action,2008,9,9,USA,185000000,533316061,Christopher Nolan,
Up ,Adventure,2009,8.3,8,USA,175000000,292979556,Pete Docter,
Monsters vs. Aliens ,Action,2009,6.5,7,USA,175000000,198332128,Rob Letterman,
Iron Man ,Action,2008,7.9,8,USA,140000000,318298180,Jon Favreau,
Hugo ,Adventure,2011,7.5,8,USA,170000000,73820094,Martin Scorsese,
Wild Wild West ,Action,1999,4.8,5,USA,170000000,113745408,Barry Sonnenfeld,
The Mummy: Tomb of the Dragon Emperor ,Action,2008,5.2,5,USA,145000000,102176165,Rob Cohen,
Suicide Squad ,Action,2016,6.9,7,USA,175000000,161087183,David Ayer,
Evan Almighty ,Comedy,2007,5.4,5,USA,175000000,100289690,Tom Shadyac,
Edge of Tomorrow ,Action,2014,7.9,8,USA,178000000,100189501,Doug Liman,
Waterworld ,Action,1995,6.1,6,USA,175000000,88246220,Kevin Reynolds,
G.I. Joe: The Rise of Cobra ,Action,2009,5.8,6,USA,175000000,150167630,Stephen Sommers,
Inside Out ,Adventure,2015,8.3,8,USA,175000000,356454367,Pete Docter,
The Jungle Book ,Adventure,2016,7.8,8,UK,175000000,362645141,Jon Favreau,
Iron Man 2 ,Action,2010,7,7,USA,200000000,312057433,Jon Favreau,
Snow White and the Huntsman ,Action,2012,6.1,6,USA,170000000,155111815,Rupert Sanders,
Maleficent ,Action,2014,7,7,USA,180000000,241407328,Robert Stromberg,
Dawn of the Planet of the Apes ,Action,2014,7.6,8,USA,170000000,208543795,Matt Reeves,
