genres,imdb_score,budget,gross,movie_title,director_name
Action,6.29,71816743,77142868.27,All Movies of the Genre,All director
Adventure,6.56,70958808,88122366.54,All Movies of the Genre,All director
Drama,6.76,55341957,89873480.11,All Movies of the Genre,All director
Animation,7.15,25663673,36812618.1,All Movies of the Genre,All director
Comedy,6.17,34851310,37554078.01,All Movies of the Genre,All director
Mystery,6.94,41288929,32194110.45,All Movies of the Genre,All director
Crime,6.95,8719333,12749187.02,All Movies of the Genre,All director
Biography,6.81,28871295,30692587.9,All Movies of the Genre,All director
Fantasy,6.5,14833333,149160477.7,All Movies of the Genre,All director
Documentary,6.28,16162162,40483059.43,All Movies of the Genre,All director
Sci-Fi,5.85,13959055,34749593.9,All Movies of the Genre,All director
Horror,6.75,3189500,92084000,All Movies of the Genre,All director
Romance,6.61,32686042,48822296.25,All Movies of the Genre,All director
Family,6.13,40071667,20886338.67,All Movies of the Genre,All director
Western,6.59,24293750,26071840.63,All Movies of the Genre,All director
Musical,5.3,602333,40513,All Movies of the Genre,All director
Thriller,6.77,2710000,15914589.33,All Movies of the Genre,All director



