movie,director,actor,Duration,fbdirector_likes,fblikes_actor,genre,imdb_score,fblikes_movie,year,imdb_rating,country,year1,gross,budget,Duration.,duration
Avatar,James Cameron,CCH Pounder,90-180min,0,1000,Action,7.9,33000,2009,8,USA,2009,$ 761M,$ 237M,178,2-3 hrs
Pirates of the Caribbean: At World's End,Gore Verbinski,Johnny Depp,90-180min,563,40000,Action,7.1,0,2007,7,USA,2007,$ 309M,$ 300M,169,2-3 hrs
Spectre,Sam Mendes,Christoph Waltz,90-180min,0,11000,Action,6.8,85000,2015,7,UK,2015,$ 200M,$ 245M,148,2-3 hrs
The Dark Knight Rises,Christopher Nolan,Tom Hardy,90-180min,22000,27000,Action,8.5,164000,2012,9,USA,2012,$ 448M,$ 250M,164,2-3 hrs
John Carter,Andrew Stanton,Daryl Sabara,90-180min,475,640,Action,6.6,24000,2012,7,USA,2012,$ 73M,$ 263.7M,132,2-3 hrs
Spider-Man 3,Sam Raimi,J.K. Simmons,90-180min,0,24000,Action,6.2,0,2007,6,USA,2007,$ 337M,$ 258M,156,2-3 hrs
Tangled,Nathan Greno,Brad Garrett,90-180min,15,799,Adventure,7.8,29000,2010,8,USA,2010,$ 201M,$ 260M,100,1-2  hrs
Avengers: Age of Ultron,Joss Whedon,Chris Hemsworth,90-180min,0,26000,Action,7.5,118000,2015,8,USA,2015,$ 459M,$ 250M,141,2-3 hrs
Harry Potter and the Half-Blood Prince,David Yates,Alan Rickman,90-180min,282,25000,Adventure,7.5,10000,2009,8,UK,2009,$ 302M,$ 250M,153,2-3 hrs
Batman v Superman: Dawn of Justice,Zack Snyder,Henry Cavill,long,0,15000,Action,6.9,197000,2016,7,USA,2016,$ 330M,$ 250M,183,>3 hrs
Superman Returns,Bryan Singer,Kevin Spacey,90-180min,0,18000,Action,6.1,0,2006,6,USA,2006,$ 200M,$ 209M,169,2-3 hrs
Quantum of Solace,Marc Forster,Giancarlo Giannini,90-180min,395,451,Action,6.7,0,2008,7,UK,2008,$ 168M,$ 200M,106,1-2  hrs
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Johnny Depp,90-180min,563,40000,Action,7.3,5000,2006,7,USA,2006,$ 423M,$ 225M,151,2-3 hrs
The Lone Ranger,Gore Verbinski,Johnny Depp,90-180min,563,40000,Action,6.5,48000,2013,7,USA,2013,$ 89M,$ 215M,150,2-3 hrs
Man of Steel,Zack Snyder,Henry Cavill,90-180min,0,15000,Action,7.2,118000,2013,7,USA,2013,$ 291M,$ 225M,143,2-3 hrs
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Peter Dinklage,90-180min,80,22000,Action,6.6,0,2008,7,USA,2008,$ 142M,$ 225M,150,2-3 hrs
The Avengers,Joss Whedon,Chris Hemsworth,90-180min,0,26000,Action,8.1,123000,2012,8,USA,2012,$ 623M,$ 220M,173,2-3 hrs
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,90-180min,252,40000,Action,6.7,58000,2011,7,USA,2011,$ 241M,$ 250M,136,2-3 hrs
Men in Black 3,Barry Sonnenfeld,Will Smith,90-180min,188,10000,Action,6.8,40000,2012,7,USA,2012,$ 179M,$ 225M,106,1-2  hrs
The Hobbit: The Battle of the Five Armies,Peter Jackson,Aidan Turner,90-180min,0,5000,Adventure,7.5,65000,2014,8,Others,2014,$ 255M,$ 250M,164,2-3 hrs
The Amazing Spider-Man,Marc Webb,Emma Stone,90-180min,464,15000,Action,7,56000,2012,7,USA,2012,$ 262M,$ 230M,153,2-3 hrs
Robin Hood,Ridley Scott,Mark Addy,90-180min,0,891,Action,6.7,17000,2010,7,USA,2010,$ 105M,$ 200M,156,2-3 hrs
The Hobbit: The Desolation of Smaug,Peter Jackson,Aidan Turner,long,0,5000,Adventure,7.9,83000,2013,8,USA,2013,$ 258M,$ 225M,186,>3 hrs
The Golden Compass,Chris Weitz,Christopher Lee,90-180min,129,16000,Adventure,6.1,0,2007,6,USA,2007,$ 70M,$ 180M,113,1-2  hrs
King Kong,Peter Jackson,Naomi Watts,long,0,6000,Action,7.2,0,2005,7,Others,2005,$ 218M,$ 207M,201,>3 hrs
Titanic,James Cameron,Leonardo DiCaprio,long,0,29000,Drama,7.7,26000,1997,8,USA,1997,$ 659M,$ 200M,194,>3 hrs
Captain America: Civil War,Anthony Russo,Robert Downey Jr.,90-180min,94,21000,Action,8.2,72000,2016,8,USA,2016,$ 407M,$ 250M,147,2-3 hrs
Battleship,Peter Berg,Liam Neeson,90-180min,532,14000,Action,5.9,44000,2012,6,USA,2012,$ 65M,$ 209M,131,2-3 hrs
Jurassic World,Colin Trevorrow,Bryce Dallas Howard,90-180min,365,3000,Action,7,150000,2015,7,USA,2015,$ 652M,$ 150M,124,2-3 hrs
Skyfall,Sam Mendes,Albert Finney,90-180min,0,883,Action,7.8,80000,2012,8,UK,2012,$ 304M,$ 200M,143,2-3 hrs
Spider-Man 2,Sam Raimi,J.K. Simmons,90-180min,0,24000,Action,7.3,0,2004,7,USA,2004,$ 373M,$ 200M,135,2-3 hrs
Iron Man 3,Shane Black,Robert Downey Jr.,long,1000,21000,Action,7.2,95000,2013,7,USA,2013,$ 409M,$ 200M,195,>3 hrs
Alice in Wonderland,Tim Burton,Johnny Depp,90-180min,13000,40000,Adventure,6.5,24000,2010,7,USA,2010,$ 334M,$ 200M,108,1-2  hrs
X-Men: The Last Stand,Brett Ratner,Hugh Jackman,90-180min,420,20000,Action,6.8,0,2006,7,Others,2006,$ 234M,$ 210M,104,1-2  hrs
Monsters University,Dan Scanlon,Steve Buscemi,90-180min,37,12000,Adventure,7.3,44000,2013,7,USA,2013,$ 268M,$ 200M,104,1-2  hrs
Transformers: Revenge of the Fallen,Michael Bay,Glenn Morshower,90-180min,0,894,Action,6,0,2009,6,USA,2009,$ 402M,$ 200M,150,2-3 hrs
Transformers: Age of Extinction,Michael Bay,Bingbing Li,90-180min,0,974,Action,5.7,56000,2014,6,USA,2014,$ 245M,$ 210M,165,2-3 hrs
Oz the Great and Powerful,Sam Raimi,Tim Holmes,90-180min,0,44000,Adventure,6.4,60000,2013,6,USA,2013,$ 235M,$ 215M,130,2-3 hrs
The Amazing Spider-Man 2,Marc Webb,Emma Stone,90-180min,464,15000,Action,6.7,41000,2014,7,USA,2014,$ 203M,$ 200M,142,2-3 hrs
